,id,chr,number,flag,code,desc
0,1859603,NC_031807,1102528036,0,KU146531,(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.
1,399255,NC_038132,1436053233,0,MG989216,Aacanthocnema dobsoni
2,118452,NC_021932,529217054,0,JX437062,Abacion magnum
3,392897,NC_011943,221145519,0,AP009202,Abalistes stellaris
4,102642,NC_030592,1043378006,0,KT876877,Abax parallelepipedus
5,2745886,NC_048988,1863125852,0,MK852688,Abbottina binhi
6,1463498,NC_026900,813426340,0,KP727758,Abbottina obtusirostris
7,75332,NC_023781,594448747,0,KF577979,Abbottina rivularis
8,658384,NC_015799,339906376,0,GQ337955,Abidama producta
9,473868,NC_021746,525340890,0,HQ259069,Abisara fylloides
10,129035,NC_011180,197311142,0,AB373007,Ablennes hians
11,643435,NC_031582,1088480243,0,AP011304,Aborichthys elongatus
12,38527,NC_020356,452849815,0,AP009305,Abramis brama
13,1396860,NC_060323,2192911203,0,MW541938,Abramites hypselonotus
14,1986468,NC_034804,1197711426,0,KY095828,Abraxas suspecta
15,425081,NC_053717,2018119579,0,MT371044,Abraximorpha davidii
16,278977,NC_005958,49616802,0,AB080273,Abronia graminea
17,254365,NC_062120,2216742653,0,OK235316,Abrostola triplasia
18,1417361,NC_024404,658608424,0,KF590536,Abrota ganga
19,2664682,NC_045238,1783487917,0,MK033020,Abrus expansivus
20,2307266,NC_039706,1511242377,0,MH020192,Abscondita anceyi
21,2069292,NC_044776,1747451937,0,MK292092,Abscondita terminalis
22,229088,NC_041192,1593555200,0,MH678614,Abudefduf bengalensis
23,192871,NC_009064,126215445,0,AP006016,Abudefduf vaigiensis
24,44213,NC_011016,194303449,0,EF672731,Acanella arbuscula
25,1449960,NC_023462,584593699,0,KF840564,Acanthacorydalis orientalis
26,392908,NC_011947,221145575,0,AP009212,Acanthaluteres brownii
27,270607,NC_034344,1181493742,0,AP017452,Acanthaphritis unoorum
28,1911546,NC_037735,1418577055,0,KY069958,Acanthaspis cincticrus
29,1524498,NC_037369,1381384851,0,KX505848,Acanthaspis ruficeps
30,339859,NC_007789,86990375,0,AB231476,Acanthaster brevispinus
31,133434,NC_007788,86990333,0,AB231475,Acanthaster planci mitochondrion MT
32,54769,NC_027285,836643924,0,KR422696,Acanthis flammea
33,57068,NC_051004,1919576456,0,MN356114,Acanthisitta chloris
34,1267101,NC_061988,2216737997,0,OL616197,Acanthoaxis wirtzi
35,643423,NC_031562,1088478747,0,AP011264,Acanthobrama persidis
36,385555,NC_008452,115531838,0,DQ632743,Acanthocardia tuberculata
37,270597,NC_034333,1181493523,0,AP017434,Acanthocepola krusensternii
38,6277,NC_016197,357018104,0,HQ186249,Acanthocheilonema viteae
39,1503212,NC_047426,1834976946,0,MN864063,Acanthochitona avicula
40,425510,NC_033958,1150150299,0,AP012138,Acanthocobitis botia
