,id,chr,number,flag,code,desc
0,491893,NC_011646,216906055,0,EU350361,Abalone shriveling syndrome-associated virus viral segment Unknown
1,1977403,NC_001341,9625557,0,X58839,Acholeplasma phage MV-L51 viral segment Unknown
2,46014,NC_001447,9626510,0,L13696,Acholeplasma virus L2 viral segment Unknown
3,1589747,NC_028834,971747936,0,KP202970,Achromobacter phage 83-24 viral segment Unknown
4,1416009,NC_023556,589889317,0,KF787095,Achromobacter phage JWAlpha viral segment Unknown
5,1589748,NC_029075,985758637,0,KP202971,Achromobacter phage JWF viral segment Unknown
6,1589746,NC_028768,971741675,0,KP202969,Achromobacter phage JWX viral segment Unknown
7,2767570,NC_054147,2026148846,0,MT708550,Achromobacter phage Mano
8,2591403,NC_049849,1877795815,0,MN094788,Achromobacter phage Motura
9,1610509,NC_029033,971821719,0,KP313532,Achromobacter phage phiAxp-1 viral segment Unknown
10,1664246,NC_029106,985770099,0,KT321316,Achromobacter phage phiAxp-2 viral segment Unknown
11,1664247,NC_028908,1211145026,0,KT321317,Achromobacter phage phiAxp-3 viral segment Unknown
12,2796514,NC_052974,2111008923,0,MW269554,Achromobacter phage vB_AchrS_AchV4
13,2591039,NC_054967,2046356339,0,MK962626,Achromobacter phage vB_AxyP_19-32_Axy04
14,2591041,NC_054971,2046356663,0,MK962629,Achromobacter phage vB_AxyP_19-32_Axy10
15,2591042,NC_054972,2046356747,0,MK962630,Achromobacter phage vB_AxyP_19-32_Axy11
16,2591043,NC_054968,2046356420,0,MK962631,Achromobacter phage vB_AxyP_19-32_Axy12
17,2591048,NC_054969,2046356503,0,MK962641,Achromobacter phage vB_AxyP_19-32_Axy24
18,437444,NC_009452,146411811,0,EF432053,Acidianus bottle-shaped virus viral segment Unknown
19,1732173,NC_028938,971757805,0,KP282673,Acidianus bottle-shaped virus 2 strain ABV2 viral segment Unknown
20,1732174,NC_028787,971743462,0,KP282674,Acidianus bottle-shaped virus 3 strain ABV3 viral segment Unknown
21,235266,NC_005830,45655866,0,AJ567472,Acidianus filamentous virus 1 viral segment Unknown
22,300186,NC_009884,157929273,0,AJ854042,Acidianus filamentous virus 2 viral segment Unknown
23,346882,NC_010152,162329357,0,AM087121,Acidianus filamentous virus 6 viral segment Unknown
24,346883,NC_010153,162329424,0,AM087122,Acidianus filamentous virus 7 viral segment Unknown
25,346884,NC_010154,162329482,0,AM087123,Acidianus filamentous virus 8 viral segment Unknown
26,512792,NC_010537,171473648,0,EU545650,Acidianus filamentous virus 9 viral segment Unknown
27,309181,NC_009965,159341058,0,AJ875026,Acidianus rod-shaped virus 1 viral segment Unknown
28,1732175,NC_029314,1002160190,0,KP282675,Acidianus rod-shaped virus 2 viral segment Unknown
29,693629,NC_013585,270281746,0,FJ870917,Acidianus spindle-shaped virus 1 viral segment Unknown
30,1797140,NC_029316,1002166811,0,KU645528,Acidianus tailed spindle virus viral segment Unknown
31,315953,NC_007409,75750386,0,AJ888457,Acidianus two-tailed virus viral segment Unknown
32,2010329,NC_041997,1631931823,0,KY979132,Acidovorax phage ACP17
33,2919552,NC_015250,326536151,0,HM114315,Acinetobacter phage 133 viral segment Unknown
34,889876,NC_042028,1631936023,0,HM368260,Acinetobacter phage AB1
35,1273713,NC_021337,509141259,0,KC311669,Acinetobacter phage AB3 viral segment Unknown
36,2178927,NC_049511,1864385578,0,MH165274,Acinetobacter phage AM101
37,154784,NC_002700,28173057,0,AF334111,Acinetobacter phage AP205 viral segment Unknown
38,1187128,NC_017984,388570767,0,HE806280,Acinetobacter phage AP22 viral segment Unknown
39,2500826,NC_048142,1842031762,0,MK278859,Acinetobacter phage AbKT21phiIII
40,2015804,NC_041998,1631932077,0,MF346584,Acinetobacter phage AbP2
41,2500827,NC_049445,1864376796,0,MK278860,Acinetobacter phage AbTZA1
42,1235824,NC_021316,509139299,0,JX658790,Acinetobacter phage Abp1 viral segment Unknown
43,762660,NC_014660,311992494,0,HM032710,Acinetobacter phage Ac42 viral segment Unknown
44,760732,NC_014661,311992750,0,GU911519,Acinetobacter phage Acj61 viral segment Unknown
45,760939,NC_014663,311993272,0,HM004124,Acinetobacter phage Acj9 viral segment Unknown
46,1647373,NC_028848,971749165,0,KR149290,Acinetobacter phage Fri1 viral segment Unknown
47,1735582,NC_028987,1275545796,0,KT804908,Acinetobacter phage IME-200 viral segment Unknown
48,1458669,NC_023590,589892139,0,KF811200,Acinetobacter phage IMEAB3 viral segment Unknown
49,2301662,NC_049441,1864376145,0,MH713599,Acinetobacter phage KARL-1
50,1792222,NC_031117,1070106021,0,KU510289,Acinetobacter phage LZ35
51,1970374,NC_042137,1631948573,0,LN890663,Acinetobacter phage Loki
52,1406779,NC_023570,589890642,0,KF669656,Acinetobacter phage Petty viral segment Unknown
53,1406780,NC_023581,589891329,0,KF669658,Acinetobacter phage Presley viral segment Unknown
54,1916127,NC_041905,1631920339,0,KY082667,Acinetobacter phage SH-Ab 15519
55,2053604,NC_047896,1842008665,0,MG459218,Acinetobacter phage SWH-Ab-1
56,2059857,NC_047883,1842007640,0,MG599035,Acinetobacter phage SWH-Ab-3
57,2655002,NC_055823,2047450252,0,MN508356,Acinetobacter phage VB_ApiP_XC38
58,1983409,NC_041966,1631926675,0,KY829116,Acinetobacter phage WCHABP1
59,1965454,NC_041924,1631922629,0,KY670595,Acinetobacter phage WCHABP12
60,1983525,NC_041967,1631926765,0,KY888680,Acinetobacter phage WCHABP5
61,1505225,NC_024785,682123100,0,KJ817802,Acinetobacter phage YMC-13-01-C62 viral segment Unknown
62,1221835,NC_019541,423261980,0,JX403940,Acinetobacter phage YMC/09/02/B1251 viral segment Unknown
63,1628721,NC_041866,1631915399,0,KP861230,Acinetobacter phage YMC11/11/R3177
64,1628720,NC_028855,971749762,0,KP861229,Acinetobacter phage YMC11/12/R2315 viral segment Unknown
65,1560342,NC_027332,849248815,0,KM672662,Acinetobacter phage YMC13/03/R2096 viral segment Unknown
66,1049283,NC_018087,939535472,0,HQ698922,Acinetobacter phage ZZ1 viral segment Unknown
67,691318,NC_028675,966199244,0,HQ186308,Acinetobacter phage phiAB1 viral segment Unknown
68,1698439,NC_031086,1070065083,0,KT339321,Acinetobacter phage phiAB6
69,1229760,NC_028995,971763770,0,JX560521,Acinetobacter phage phiAC-1 viral segment Unknown
70,1243183,NC_041857,1631914210,0,JX976549,Acinetobacter phage vB_AbaM-IME-AB2
71,1481186,NC_025462,712915757,0,KJ473422,Acinetobacter phage vB_AbaM_Acibel004 viral segment Unknown
72,2686308,NC_049491,1864381403,0,MN723850,Acinetobacter phage vB_AbaM_Apostate
73,2315466,NC_048074,1842026027,0,MH800198,Acinetobacter phage vB_AbaM_B09_Aci01-1
74,2315467,NC_048075,1842026197,0,MH800199,Acinetobacter phage vB_AbaM_B09_Aci02-2
75,2315458,NC_048080,1842026834,0,MH746814,Acinetobacter phage vB_AbaM_B09_Aci05
76,2686290,NC_049490,1864381089,0,MN709128,Acinetobacter phage vB_AbaM_Berthold
77,2686303,NC_049492,1864381707,0,MN732883,Acinetobacter phage vB_AbaM_Kimel
78,2666257,NC_049479,1864379949,0,MN648195,Acinetobacter phage vB_AbaM_Konradin
79,2686289,NC_049493,1864382118,0,MN782535,Acinetobacter phage vB_AbaM_Lazarus
80,1837876,NC_041884,1631917922,0,KU935715,Acinetobacter phage vB_AbaM_ME3
81,2690230,NC_049494,1864382445,0,MN864865,Acinetobacter phage vB_AbaM_PhT2
82,1605379,NC_031280,1070619947,0,KJ628499,Acinetobacter phage vB_AbaM_phiAbaA1
83,2315468,NC_048076,1842026369,0,MH800200,Acinetobacter phage vB_AbaP_46-62_Aci07
84,1932886,NC_041915,1631921362,0,KY268296,Acinetobacter phage vB_AbaP_AS11
85,1932885,NC_041914,1631921312,0,KY268295,Acinetobacter phage vB_AbaP_AS12
86,1481187,NC_025457,712915472,0,KJ473423,Acinetobacter phage vB_AbaP_Acibel007 viral segment Unknown
87,2315601,NC_048081,1842026995,0,MH763831,Acinetobacter phage vB_AbaP_B09_Aci08
88,2016049,NC_042003,1631932515,0,MF033347,Acinetobacter phage vB_AbaP_B1
89,2016050,NC_042004,1631932567,0,MF033348,Acinetobacter phage vB_AbaP_B3
90,2678937,NC_042005,1631932617,0,MF033349,Acinetobacter phage vB_AbaP_B5
91,2126803,NC_042124,1631946989,0,MH042230,Acinetobacter phage vB_AbaP_D2
92,1701807,NC_028684,966200373,0,KT388102,Acinetobacter phage vB_AbaP_PD-6A3 viral segment Unknown
