,id,chr,number,flag,code,desc
0,1100043,NC_027925,937424915,0,KR819915,Apis mellifera filamentous virus viral segment Unknown
1,1903266,NC_032108,1115260653,0,LT671577,Cedratvirus A11
2,754069,NC_023841,601447416,0,HQ332136,Dunaliella viridis virus SI2
3,754066,NC_021537,514051256,0,HQ332141,Halorubrum phage CGphi46
4,33771,NC_003345,18138397,0,AF222060,Halorubrum phage HF2
5,1273746,NC_021330,509140683,0,KC292029,Halovirus HCTV-1
6,1273747,NC_021319,509139472,0,KC292028,Halovirus HCTV-2
7,1273748,NC_021327,509140160,0,KC292027,Halovirus HCTV-5
8,222645,NC_004927,32453825,0,AY190604,Halovirus HF1
9,1273749,NC_021328,509140327,0,KC292026,Halovirus HGTV-1
10,1273750,NC_021322,509139803,0,KC292025,Halovirus HHTV-1
11,1273751,NC_021340,509141440,0,KC292024,Halovirus HHTV-2
12,1273752,NC_021329,509140609,0,KC292023,Halovirus HRTV-4
13,1273753,NC_021320,509139559,0,KC292022,Halovirus HRTV-5
14,1273754,NC_021335,509141110,0,KC292021,Halovirus HRTV-7
15,1273755,NC_021321,509139678,0,KC292020,Halovirus HRTV-8
16,1262530,NC_021471,511534117,0,KC117378,Halovirus HSTV-1
17,1262527,NC_020159,443404743,0,KC117376,Halovirus HSTV-2
18,1262528,NC_020158,443404569,0,KC117377,Halovirus HVTV-1
19,762905,NC_014322,300116753,0,GU722196,Hyperthermophilic Archaeal Virus 1
20,712037,NC_015123,323361056,0,AB543063,Japanese eel endothelial cells-infecting virus
21,1349409,NC_021858,526118633,0,KC977570,Pandoravirus dulcis
22,1605721,NC_026440,755573852,0,KP136319,Pandoravirus inopinatum viral segment Unknown
23,2107707,NC_037665,1408257603,0,MG011691,Pandoravirus macleodensis
24,2107708,NC_037666,1408258530,0,MG011690,Pandoravirus neocaledonia
25,2107709,NC_037667,1408259612,0,MG011689,Pandoravirus quercus
26,1349410,NC_022098,531034792,0,KC977571,Pandoravirus salinus
27,1450746,NC_023423,585299329,0,KF740664,Pithovirus sibericum
28,425386,NC_009597,149274319,0,EF071488,Pyrococcus abyssi virus 1
29,2175117,NC_040625,1571839623,0,MF946548,Rhynchobatus djiddensis adomavirus 1
30,1732180,NC_028992,971763680,0,KP282680,Sulfolobales Virus YNP2
31,1732179,NC_029027,971766983,0,KP282679,Sulfolobales virus YNP1
32,2175118,NC_040698,1571845404,0,MF946549,Symphysodon discus adomavirus 1
33,756285,NC_020869,472343103,0,HQ332143,Tetraselmis viridis virus S1
34,754070,NC_020840,472339725,0,HQ632857,Tetraselmis viridis virus S20
