,id,chr,number,flag,code,desc
0,438782,NC_010318,167006432,0,EF546812,Abaca bunchy top virus viral segment DNA C
1,438782,NC_010317,167006430,0,EF546811,Abaca bunchy top virus viral segment DNA M
2,438782,NC_010314,167006425,0,EF546808,Abaca bunchy top virus viral segment DNA N
3,438782,NC_010319,167006434,0,EF546813,Abaca bunchy top virus viral segment DNA R
4,438782,NC_010316,167006428,0,EF546810,Abaca bunchy top virus viral segment DNA S
5,438782,NC_010315,167006427,0,EF546809,Abaca bunchy top virus viral segment DNA U3
6,1241371,NC_018874,409191184,0,JX453331,Abalone herpesvirus Victoria/AUS/2009 viral segment Unknown
7,491893,NC_011646,216906055,0,EU350361,Abalone shriveling syndrome-associated virus viral segment Unknown
8,11788,NC_001499,9626953,0,AF033812,Abelson murine leukemia virus viral segment Unknown
9,665102,NC_014138,296005648,0,FN434438,Abutilon Brazil virus viral segment DNA A
10,665102,NC_014139,296005654,0,FN434439,Abutilon Brazil virus viral segment DNA B
11,932071,NC_015045,321961702,0,HM585445,Abutilon mosaic Bolivia virus viral segment DNA A
12,932071,NC_015048,321958405,0,HM585446,Abutilon mosaic Bolivia virus viral segment DNA B
13,1046572,NC_016574,372199578,0,JF694480,Abutilon mosaic Brazil virus viral segment DNA A
14,1046572,NC_016577,372199594,0,JF694479,Abutilon mosaic Brazil virus viral segment DNA B
15,10815,NC_001928,39980672,0,X15983,Abutilon mosaic virus viral segment DNA A
16,10815,NC_001929,39980679,0,X15984,Abutilon mosaic virus viral segment DNA B
17,212035,NC_014649,311977355,0,HQ336222,Acanthamoeba polyphaga mimivirus viral segment Unknown
18,1269028,NC_020104,441431943,0,JX962719,Acanthamoeba polyphaga moumouvirus viral segment Unknown
19,322019,NC_008724,119953744,0,EF101928,Acanthocystis turfacea chlorella virus 1 viral segment Unknown
20,1168547,NC_020099,441431932,0,JQ837277,Acartia tonsa copepod circovirus
21,185639,NC_004290,23334625,0,AX344110,Acheta domestica densovirus viral segment Unknown
22,1404345,NC_022564,550455633,0,KF275669,Acheta domestica mini ambidensovirus viral segment Unknown
23,1291515,NC_021074,481852725,0,KC794540,Acheta domesticus volvovirus viral segment Unknown
24,437444,NC_009452,146411811,0,EF432053,Acidianus bottle-shaped virus viral segment Unknown
25,235266,NC_005830,45655866,0,AJ567472,Acidianus filamentous virus 1 viral segment Unknown
26,300186,NC_009884,157929273,0,AJ854042,Acidianus filamentous virus 2 viral segment Unknown
27,346881,NC_010155,162329288,0,AM087120,Acidianus filamentous virus 3 viral segment Unknown
28,346882,NC_010152,162329357,0,AM087121,Acidianus filamentous virus 6 viral segment Unknown
29,346883,NC_010153,162329424,0,AM087122,Acidianus filamentous virus 7 viral segment Unknown
30,346884,NC_010154,162329482,0,AM087123,Acidianus filamentous virus 8 viral segment Unknown
31,512792,NC_010537,171473648,0,EU545650,Acidianus filamentous virus 9 viral segment Unknown
32,309181,NC_009965,159341058,0,AJ875026,Acidianus rod-shaped virus 1 viral segment Unknown
33,693629,NC_013585,270281746,0,FJ870917,Acidianus spindle-shaped virus 1 viral segment Unknown
34,315953,NC_007409,75750386,0,AJ888457,Acidianus two-tailed virus viral segment Unknown
35,101764,NC_002795,14251190,0,AB051848,Aconitum latent virus viral segment Unknown
36,1112770,NC_016404,357579586,0,JN427015,Actinidia virus B viral segment Unknown
37,92444,NC_002548,10314009,0,AF150629,Acute bee paralysis virus viral segment Unknown
38,340187,NC_003780,20451015,0,AF024514,Acyrthosiphon pisum virus viral segment Unknown
39,85106,NC_002077,9632547,0,AF063497,Adeno-associated virus - 1 viral segment Unknown
40,46350,NC_001729,9628918,0,U48704,Adeno-associated virus - 3 viral segment Unknown
41,57579,NC_001829,9629641,0,U89790,Adeno-associated virus - 4 viral segment Unknown
42,202812,NC_006260,51949960,0,AF513851,Adeno-associated virus - 7 viral segment Unknown
43,202813,NC_006261,51949963,0,AF513852,Adeno-associated virus - 8 viral segment Unknown
44,1293540,NC_021247,506498026,0,HF679131,Adoxophyes honmai entomopoxvirus 'L' viral segment Unknown
45,224399,NC_004690,29567085,0,AP006270,Adoxophyes honmai nucleopolyhedrovirus viral segment Unknown
46,170617,NC_005038,32698539,0,AF547984,Adoxophyes orana granulovirus viral segment Unknown
47,542343,NC_011423,209978775,0,EU591746,Adoxophyes orana nucleopolyhedrovirus viral segment Unknown
48,335103,NC_007548,78765373,0,DQ113897,Adult diarrheal rotavirus strain J19 viral segment 1
49,335103,NC_007557,78767973,0,DQ113906,Adult diarrheal rotavirus strain J19 viral segment 10
